sample,selected_source,source_rows,abnormal_termination_rows,truncated_with_text_rows,empty_rows,near_empty_rows,small_output_rows,any_anomaly_rows,has_abnormal_termination,has_truncated_with_text,has_empty,has_near_empty,has_small_output,has_any_anomaly
protein6,official_baseline_v2,20,7,1,6,0,6,7,True,True,True,False,True,True
python2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
python3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
python4,official_baseline_v2,20,6,3,3,2,5,8,True,True,True,True,True,True
python5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
python6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
python7,official_baseline_v2,20,7,2,5,0,5,7,True,True,True,False,True,True
quantum1,official_baseline_v2,20,4,2,2,1,3,5,True,True,True,True,True,True
quantum2,official_baseline_v2,20,5,2,3,0,3,5,True,True,True,False,True,True
quantum3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
quantum4,official_baseline_v2,20,4,3,1,3,4,7,True,True,True,True,True,True
quantum5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
quantum6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
recipe1,official_baseline_v2,20,1,0,1,0,1,1,True,False,True,False,True,True
robotics1,official_problem15_fill,20,8,4,4,0,4,8,True,True,True,False,True,True
robotics2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
robotics3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
satellite1,official_baseline_v2,20,2,0,2,0,2,2,True,False,True,False,True,True
satellite2,official_baseline_v2,20,1,0,1,4,5,5,True,False,True,True,True,True
satellite3,official_baseline_v2,20,2,0,2,4,6,6,True,False,True,True,True,True
satellite4,official_baseline_v2,20,1,0,1,9,10,10,True,False,True,True,True,True
satellite5,official_baseline_v2,20,3,0,3,0,3,3,True,False,True,False,True,True
satellite6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
screenplay1,official_baseline_v2,20,4,2,2,3,5,7,True,True,True,True,True,True
screenplay2,official_baseline_v2,20,1,0,1,1,2,2,True,False,True,True,True,True
screenplay3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
screenplay4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
screenplay5,official_baseline_v2,20,2,2,0,0,0,2,True,True,False,False,False,True
screenplay6,official_baseline_v2,20,2,2,0,0,0,2,True,True,False,False,False,True
slides1,official_baseline_v2,20,4,1,3,0,3,4,True,True,True,False,True,True
spreadsheet1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
spreadsheet2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
spreadsheet3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
spreadsheet4,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
spreadsheet5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
spreadsheet6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
starcatalog1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
starcatalog2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
starcatalog3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
starcatalog4,official_baseline_v2,20,8,3,5,0,5,8,True,True,True,False,True,True
starcatalog5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
starcatalog6,official_baseline_v2,20,5,1,4,1,5,6,True,True,True,True,True,True
subtitles2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
subtitles3,official_baseline_v2,20,2,1,1,0,1,2,True,True,True,False,True,True
subtitles4,official_baseline_v2,20,2,0,2,1,3,3,True,False,True,True,True,True
subtitles5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
subtitles6,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
transit1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
transit2,frozen_fr,20,0,0,0,2,2,2,False,False,False,True,True,True
transit3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
transit5,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
translation1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
translation2,official_baseline_v2,20,2,1,1,0,1,2,True,True,True,False,True,True
translation3,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
translation4,official_baseline_v2,20,1,0,1,14,15,15,True,False,True,True,True,True
translation5,official_baseline_v2,20,2,1,1,4,5,6,True,True,True,True,True,True
translation6,official_baseline_v2,20,4,0,4,4,8,8,True,False,True,True,True,True
treebank1,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
treebank2,frozen_fr,20,0,0,0,0,0,0,False,False,False,False,False,False
